Epoch, Total Squared Error
1267,0.101938
1268,0.101935
1269,0.101932
1270,0.101928
1271,0.101925
1272,0.101922
1273,0.101919
1274,0.101916
1275,0.101912
1276,0.101909
1277,0.101906
1278,0.101903
1279,0.101899
1280,0.101896
1281,0.101893
1282,0.10189
1283,0.101887
1284,0.101883
1285,0.10188
1286,0.101877
1287,0.101874
1288,0.10187
1289,0.101867
1290,0.101864
1291,0.101861
1292,0.101858
1293,0.101854
1294,0.101851
1295,0.101848
1296,0.101845
1297,0.101842
1298,0.101839
1299,0.101835
1300,0.101832
1301,0.101829
1302,0.101826
1303,0.101823
1304,0.10182
1305,0.101816
1306,0.101813
1307,0.10181
1308,0.101807
1309,0.101804
1310,0.101801
1311,0.101797
1312,0.101794
1313,0.101791
1314,0.101788
1315,0.101785
1316,0.101782
1317,0.101779
1318,0.101776
1319,0.101772
1320,0.101769
1321,0.101766
1322,0.101763
1323,0.10176
1324,0.101757
1325,0.101754
1326,0.101751
1327,0.101747
1328,0.101744
1329,0.101741
1330,0.101738
1331,0.101735
1332,0.101732
1333,0.101729
1334,0.101726
1335,0.101723
1336,0.10172
1337,0.101716
1338,0.101713
1339,0.10171
1340,0.101707
1341,0.101704
1342,0.101701
1343,0.101698
1344,0.101695
1345,0.101692
1346,0.101689
1347,0.101686
1348,0.101683
1349,0.10168
1350,0.101677
1351,0.101673
1352,0.10167
1353,0.101667
1354,0.101664
1355,0.101661
1356,0.101658
1357,0.101655
1358,0.101652
1359,0.101649
1360,0.101646
1361,0.101643
1362,0.10164
1363,0.101637
1364,0.101634
1365,0.101631
1366,0.101628
1367,0.101625
1368,0.101622
1369,0.101619
1370,0.101616
1371,0.101613
1372,0.10161
1373,0.101607
1374,0.101604
1375,0.101601
1376,0.101598
1377,0.101595
1378,0.101592
1379,0.101589
1380,0.101586
1381,0.101583
1382,0.10158
1383,0.101577
1384,0.101574
1385,0.101571
1386,0.101568
1387,0.101565
1388,0.101562
1389,0.101559
1390,0.101556
1391,0.101553
1392,0.10155
1393,0.101547
1394,0.101544
1395,0.101541
1396,0.101538
1397,0.101535
1398,0.101532
1399,0.101529
1400,0.101526
1401,0.101523
1402,0.10152
1403,0.101517
1404,0.101514
1405,0.101511
1406,0.101508
1407,0.101506
1408,0.101503
1409,0.1015
1410,0.101497
1411,0.101494
1412,0.101491
1413,0.101488
1414,0.101485
1415,0.101482
1416,0.101479
1417,0.101476
1418,0.101473
1419,0.10147
1420,0.101467
1421,0.101465
1422,0.101462
1423,0.101459
1424,0.101456
1425,0.101453
1426,0.10145
1427,0.101447
1428,0.101444
1429,0.101441
1430,0.101438
1431,0.101435
1432,0.101433
1433,0.10143
1434,0.101427
1435,0.101424
1436,0.101421
1437,0.101418
1438,0.101415
1439,0.101412
1440,0.10141
1441,0.101407
1442,0.101404
1443,0.101401
1444,0.101398
1445,0.101395
1446,0.101392
1447,0.101389
1448,0.101387
1449,0.101384
1450,0.101381
1451,0.101378
1452,0.101375
1453,0.101372
1454,0.101369
1455,0.101367
1456,0.101364
1457,0.101361
1458,0.101358
1459,0.101355
1460,0.101352
1461,0.101349
1462,0.101347
1463,0.101344
1464,0.101341
1465,0.101338
1466,0.101335
1467,0.101332
1468,0.10133
1469,0.101327
1470,0.101324
1471,0.101321
1472,0.101318
1473,0.101315
1474,0.101313
1475,0.10131
1476,0.101307
1477,0.101304
1478,0.101301
1479,0.101299
1480,0.101296
1481,0.101293
1482,0.10129
1483,0.101287
1484,0.101285
1485,0.101282
1486,0.101279
1487,0.101276
1488,0.101273
1489,0.101271
1490,0.101268
1491,0.101265
1492,0.101262
1493,0.101259
1494,0.101257
1495,0.101254
1496,0.101251
1497,0.101248
1498,0.101245
1499,0.101243
1500,0.10124
1501,0.101237
1502,0.101234
1503,0.101232
1504,0.101229
1505,0.101226
1506,0.101223
1507,0.101221
1508,0.101218
1509,0.101215
1510,0.101212
1511,0.101209
1512,0.101207
1513,0.101204
1514,0.101201
1515,0.101198
1516,0.101196
1517,0.101193
1518,0.10119
1519,0.101187
1520,0.101185
1521,0.101182
1522,0.101179
1523,0.101177
1524,0.101174
1525,0.101171
1526,0.101168
1527,0.101166
1528,0.101163
1529,0.10116
1530,0.101157
1531,0.101155
1532,0.101152
1533,0.101149
1534,0.101147
1535,0.101144
1536,0.101141
1537,0.101138
1538,0.101136
1539,0.101133
1540,0.10113
1541,0.101127
1542,0.101125
